list,position,experiment,item,condition,subcondition,audio
5,1,filler,18,g,intransitive,filler_18_g_intransitive
5,2,filler,31,ng,salad,filler_31_ng_salad
5,3,filler,40,g,scrambled,filler_40_g_scrambled
5,4,filler,9,m,implausible,filler_9_m_implausible
5,5,filler,36,m,implausible,filler_36_m_implausible
5,6,filler,11,ng,salad,filler_11_ng_salad
5,7,order,42,VOS,NA,5_order_42_VOS
5,8,filler,48,g,scrambled,filler_48_g_scrambled
5,9,island,1,experiencer,rel,5_island_1_experiencer_rel
5,10,order,22,OSV,NA,5_order_22_OSV
5,11,filler,21,m,implausible,filler_21_m_implausible
5,12,order,20,OVS,NA,5_order_20_OVS
5,13,island,3,causative,situ,5_island_3_causative_situ
5,14,filler,30,g,csc,filler_30_g_csc
5,15,island,29,causative,main,5_island_29_causative_main
5,16,filler,37,ng,csc,filler_37_ng_csc
5,17,island,14,experiencer,main,5_island_14_experiencer_main
5,18,filler,41,ng,transitive,filler_41_ng_transitive
5,19,order,17,SOV,NA,5_order_17_SOV
5,20,filler,27,m,implausible,filler_27_m_implausible
5,21,order,37,VSO,NA,5_order_37_VSO
5,22,filler,5,ng,intransitive,filler_5_ng_intransitive
5,23,island,15,causative,situ,5_island_15_causative_situ
5,24,filler,19,ng,salad,filler_19_ng_salad
5,25,island,27,causative,rel,5_island_27_causative_rel
5,26,order,29,SOV,NA,5_order_29_SOV
5,27,filler,28,g,transitive,filler_28_g_transitive
5,28,order,39,SVO,NA,5_order_39_SVO
5,29,filler,24,m,implausible,filler_24_m_implausible
5,30,order,33,SVO,NA,5_order_33_SVO
5,31,island,12,experiencer,situ,5_island_12_experiencer_situ
5,32,filler,23,ng,salad,filler_23_ng_salad
5,33,island,26,causative,situ,5_island_26_causative_situ
5,34,order,34,OSV,NA,5_order_34_OSV
5,35,filler,16,g,scrambled,filler_16_g_scrambled
5,36,order,5,SOV,NA,5_order_5_SOV
5,37,filler,44,g,csc,filler_44_g_csc
5,38,order,30,VOS,NA,5_order_30_VOS
5,39,filler,13,ng,transitive,filler_13_ng_transitive
5,40,order,3,SVO,NA,5_order_3_SVO
5,41,island,8,experiencer,main,5_island_8_experiencer_main
5,42,filler,43,ng,salad,filler_43_ng_salad
5,43,order,18,VOS,NA,5_order_18_VOS
5,44,filler,1,ng,intransitive,filler_1_ng_intransitive
5,45,order,40,OSV,NA,5_order_40_OSV
5,46,filler,42,g,transitive,filler_42_g_transitive
5,47,order,27,SVO,NA,5_order_27_SVO
5,48,filler,22,g,transitive,filler_22_g_transitive
5,49,island,20,experiencer,situ,5_island_20_experiencer_situ
5,50,filler,33,ng,intransitive,filler_33_ng_intransitive
5,51,island,23,experiencer,rel,5_island_23_experiencer_rel
5,52,order,31,VSO,NA,5_order_31_VSO
5,53,filler,25,ng,intransitive,filler_25_ng_intransitive
5,54,island,11,causative,main,5_island_11_causative_main
5,55,order,26,OVS,NA,5_order_26_OVS
5,56,filler,8,g,scrambled,filler_8_g_scrambled
5,57,island,17,causative,main,5_island_17_causative_main
5,58,filler,12,g,csc,filler_12_g_csc
5,59,island,16,causative,rel,5_island_16_causative_rel
5,60,order,12,VOS,NA,5_order_12_VOS
5,61,filler,10,g,intransitive,filler_10_g_intransitive
5,62,order,4,OSV,NA,5_order_4_OSV
5,63,filler,7,ng,salad,filler_7_ng_salad
5,64,island,7,experiencer,rel,5_island_7_experiencer_rel
5,65,order,8,OVS,NA,5_order_8_OVS
5,66,filler,39,ng,salad,filler_39_ng_salad
5,67,order,15,SVO,NA,5_order_15_SVO
5,68,filler,34,g,intransitive,filler_34_g_intransitive
5,69,order,2,OVS,NA,5_order_2_OVS
5,70,island,25,experiencer,main,5_island_25_experiencer_main
5,71,order,9,SVO,NA,5_order_9_SVO
5,72,filler,4,g,transitive,filler_4_g_transitive
5,73,order,32,OVS,NA,5_order_32_OVS
5,74,filler,29,ng,csc,filler_29_ng_csc
5,75,order,6,VOS,NA,5_order_6_VOS
5,76,filler,15,m,implausible,filler_15_m_implausible
5,77,order,38,OVS,NA,5_order_38_OVS
5,78,filler,45,ng,intransitive,filler_45_ng_intransitive
5,79,order,36,VOS,NA,5_order_36_VOS
5,80,filler,35,ng,salad,filler_35_ng_salad
5,81,order,13,VSO,NA,5_order_13_VSO
5,82,island,10,causative,rel,5_island_10_causative_rel
5,83,order,23,SOV,NA,5_order_23_SOV
5,84,filler,6,m,implausible,filler_6_m_implausible
5,85,order,21,SVO,NA,5_order_21_SVO
5,86,filler,47,ng,salad,filler_47_ng_salad
5,87,order,16,OSV,NA,5_order_16_OSV
5,88,island,13,experiencer,rel,5_island_13_experiencer_rel
5,89,filler,46,g,intransitive,filler_46_g_intransitive
5,90,order,7,VSO,NA,5_order_7_VSO
5,91,island,6,experiencer,situ,5_island_6_experiencer_situ
5,92,order,24,VOS,NA,5_order_24_VOS
5,93,filler,2,g,intransitive,filler_2_g_intransitive
5,94,order,19,VSO,NA,5_order_19_VSO
5,95,island,32,experiencer,situ,5_island_32_experiencer_situ
5,96,order,14,OVS,NA,5_order_14_OVS
5,97,filler,17,ng,transitive,filler_17_ng_transitive
5,98,order,1,VSO,NA,5_order_1_VSO
5,99,filler,38,g,intransitive,filler_38_g_intransitive
5,100,order,10,OSV,NA,5_order_10_OSV
5,101,filler,14,g,transitive,filler_14_g_transitive
5,102,order,11,SOV,NA,5_order_11_SOV
5,103,filler,20,g,csc,filler_20_g_csc
5,104,island,2,experiencer,main,5_island_2_experiencer_main
5,105,order,41,SOV,NA,5_order_41_SOV
5,106,filler,3,m,implausible,filler_3_m_implausible
5,107,order,35,SOV,NA,5_order_35_SOV
5,108,island,4,causative,rel,5_island_4_causative_rel
5,109,order,28,OSV,NA,5_order_28_OSV
5,110,filler,32,g,scrambled,filler_32_g_scrambled
5,111,island,9,causative,situ,5_island_9_causative_situ
5,112,order,25,VSO,NA,5_order_25_VSO
5,113,filler,26,g,transitive,filler_26_g_transitive
5,114,island,5,causative,main,5_island_5_causative_main
