list,experiment,item,position,order,audioFile,subject,object,verb,sentence
1,order,1,65,SOV,1_order_1_SOV,おじいさんが,お手紙を,書きました,おじいさんがお手紙を書きました。
1,order,2,27,VOS,1_order_2_VOS,おばあさんが,洗濯を,手伝いました,手伝いました、洗濯をおばあさんが。
1,order,3,39,VSO,1_order_3_VSO,いもうとが,牛乳を,溢しました,溢しました、いもうとが牛乳を。
1,order,4,76,OVS,1_order_4_OVS,おとうとが,ぬいぐるみを,しまいました,ぬいぐるみをしまいました、おとうとが。
1,order,5,31,SVO,1_order_5_SVO,お母さんが,天ぷらを,揚げました,お母さんが揚げました、天ぷらを。
1,order,6,41,OSV,1_order_6_OSV,お父さんが,タコ焼きを,食べました,タコ焼きを、お父さんが食べました。
1,order,7,62,SOV,1_order_7_SOV,店員さんが,弁当を,温めました,店員さんが弁当を温めました。
1,order,8,108,VOS,1_order_8_VOS,花屋さんが,ひまわりを,育てました,育てました、ひまわりを花屋さんが。
1,order,9,78,VSO,1_order_9_VSO,お医者さんが,風邪薬を,飲みました,飲みました、お医者さんが風邪薬を。
1,order,10,16,OVS,1_order_10_OVS,本屋さんが,文房具を,並べました,文房具を並べました、本屋さんが。
1,order,11,84,SVO,1_order_11_SVO,お手伝いさんが,雑巾を,絞りました,お手伝いさんが絞りました、雑巾を。
1,order,12,45,OSV,1_order_12_OSV,お巡りさんが,自転車を,止めました,自転車を、お巡りさんが止めました。
1,order,13,36,SOV,1_order_13_SOV,消防士が,階段を,登りました,消防士が階段を登りました。
1,order,14,98,VOS,1_order_14_VOS,会計士が,計算を,正しました,正しました、計算を会計士が。
1,order,15,51,VSO,1_order_15_VSO,弁護士が,冗談を,言いました,言いました、弁護士が冗談を。
1,order,16,103,OVS,1_order_16_OVS,美容師が,髪型を,整えました,髪型を整えました、美容師が。
1,order,17,74,SVO,1_order_17_SVO,獣医師が,捨て犬を,可愛がりました,獣医師が可愛がりました、捨て犬を。
1,order,18,49,OSV,1_order_18_OSV,看護師が,救急箱を,開けました,救急箱を、看護師が開けました。
1,order,19,47,SOV,1_order_19_SOV,政治家が,発表を,行いました,政治家が発表を行いました。
1,order,20,94,VOS,1_order_20_VOS,音楽家が,新曲を,歌いました,歌いました、新曲を音楽家が。
1,order,21,111,VSO,1_order_21_VSO,漫画家が,四コマを,描きました,描きました、漫画家が四コマを。
1,order,22,24,OVS,1_order_22_OVS,専門家が,ご意見を,述べました,ご意見を述べました、専門家が。
1,order,23,101,SVO,1_order_23_SVO,小説家が,下書きを,見直しました,小説家が見直しました、下書きを。
1,order,24,34,OSV,1_order_24_OSV,芸術家が,名作を,売りました,名作を、芸術家が売りました。
1,order,25,96,SOV,1_order_25_SOV,研究者が,問題を,調べました,研究者が問題を調べました。
1,order,26,113,VOS,1_order_26_VOS,科学者が,教科書を,読みました,読みました、教科書を科学者が。
1,order,27,19,VSO,1_order_27_VSO,責任者が,過ちを,認めました,認めました、責任者が過ちを。
1,order,28,86,OVS,1_order_28_OVS,初心者が,練習を,続けました,練習を続けました、初心者が。
1,order,29,12,SVO,1_order_29_SVO,優勝者が,ご褒美を,もらいました,優勝者がもらいました、ご褒美を。
1,order,30,7,OSV,1_order_30_OSV,旅行者が,新幹線を,間違えました,新幹線を、旅行者が間違えました。
1,order,31,43,SOV,1_order_31_SOV,先生が,挨拶を,忘れました,先生が挨拶を忘れました。
1,order,32,56,VOS,1_order_32_VOS,小学生が,ひらがなを,覚えました,覚えました、ひらがなを小学生が。
1,order,33,69,VSO,1_order_33_VSO,高校生が,学校を,休みました,休みました、高校生が学校を。
1,order,34,90,OVS,1_order_34_OVS,転入生が,制服を,買いました,制服を買いました、転入生が。
1,order,35,53,SVO,1_order_35_SVO,留学生が,日本語を,習いました,留学生が習いました、日本語を。
1,order,36,29,OSV,1_order_36_OSV,院生が,論文を,出しました,論文を、院生が出しました。
1,order,37,58,SOV,1_order_37_SOV,外国人が,音楽を,聞きました,外国人が音楽を聞きました。
1,order,38,10,VOS,1_order_38_VOS,料理人が,人参を,切りました,切りました、人参を料理人が。
1,order,39,105,VSO,1_order_39_VSO,配達人が,割れ物を,落としました,落としました、配達人が割れ物を。
1,order,40,60,OVS,1_order_40_OVS,釣り人が,長靴を,履きました,長靴を履きました、釣り人が。
1,order,41,21,SVO,1_order_41_SVO,名人が,能力を,鍛えました,名人が鍛えました、能力を。
1,order,42,71,OSV,1_order_42_OSV,友人が,お土産を,選びました,お土産を、友人が選びました。
2,order,1,63,OSV,2_order_1_OSV,おじいさんが,お手紙を,書きました,お手紙を、おじいさんが書きました。
2,order,2,9,SOV,2_order_2_SOV,おばあさんが,洗濯を,手伝いました,おばあさんが洗濯を手伝いました。
2,order,3,23,VOS,2_order_3_VOS,いもうとが,牛乳を,溢しました,溢しました、牛乳をいもうとが。
2,order,4,57,VSO,2_order_4_VSO,おとうとが,ぬいぐるみを,しまいました,しまいました、おとうとがぬいぐるみを。
2,order,5,88,OVS,2_order_5_OVS,お母さんが,天ぷらを,揚げました,天ぷらを揚げました、お母さんが。
2,order,6,85,SVO,2_order_6_SVO,お父さんが,タコ焼きを,食べました,お父さんが食べました、タコ焼きを。
2,order,7,52,OSV,2_order_7_OSV,店員さんが,弁当を,温めました,弁当を、店員さんが温めました。
2,order,8,101,SOV,2_order_8_SOV,花屋さんが,ひまわりを,育てました,花屋さんがひまわりを育てました。
2,order,9,54,VOS,2_order_9_VOS,お医者さんが,風邪薬を,飲みました,飲みました、風邪薬をお医者さんが。
