list,experiment,item,position,verbType,moveType,audioFile,verbMeaning,yoruPhrase,relClauseSubj,relClauseObj,relClauseVerb,mainClauseObj,mainClauseVerb,evidentialPol,sentence
1,island,1,82,causative,main,1_island_1_causative_main,cause problem,今朝読んだ新聞によると,社長が,自分の親戚を,5人も雇っていたことが,訴訟問題を,起こした,らしいです,訴訟問題を、今朝読んだ新聞によると、社長が自分の親戚を5人も雇っていたことが、起こしたらしいです。
1,island,2,80,experiencer,situ,1_island_2_experiencer_situ,become disappointed,その筆者によると,美術商が,有名画家の絵画を,買ってくれなかったことが,批評家を,がっかりさせた,と言ったらしいです,その筆者によると、美術商が有名画家の絵画を買ってくれなかったことが、批評家をがっかりさせたと言ったらしいです。
1,island,3,77,experiencer,rel,1_island_3_experiencer_rel,rejoice,知り合いの先生によると,息子が,有名大学に,5つも受かったことが,塾長を,喜ばせた,とのことです,有名大学に、知り合いの先生によると、息子が5つも受かったことが、塾長を喜ばせたとのことです。
1,island,4,32,experiencer,main,1_island_4_experiencer_main,surprise,その有名な教授によると,研究者が,大切な文書を,無くしたことが,担当者を,驚かせた,らしいです,担当者を、その有名な教授によると、研究者が大切な文書を無くしたことが、驚かせたらしいです。
1,island,5,68,causative,situ,1_island_5_causative_situ,secure support,その記者によると,大家さんが,古い家の鍵を,全て取り替えたことが,住人たちの支持を,取り付けた,ようです,その記者によると、大家さんが古い家の鍵を全て取り替えたことが、住人たちの支持を取り付けたようです。
1,island,6,106,causative,rel,1_island_6_causative_rel,disrupt plans,学校の調査によると,野球部の監督が,先輩方からの差し入れを,盗んだことが,部員たちの予定を,狂わせた,ようです,先輩方からの差し入れを、学校の調査によると、野球部の監督が盗んだことが、部員たちの予定を狂わせたようです。
1,island,7,48,causative,main,1_island_7_causative_main,cause bankruptcy,その責任者によると,ある社員が,極秘情報を,バラしたことが,会社の倒産を,引き起こした,ということです,会社の倒産を、その責任者によると、ある社員が極秘情報をバラしたことが、引き起こしたということです。
1,island,8,44,experiencer,situ,1_island_8_experiencer_situ,torment,住民の話によると,長男が,２度も万引きを,していたことが,その両親を,悩ませた,そうです,住民の話によると、長男が２度も万引きをしていたことが、その両親を悩ませたそうです。
1,island,9,17,experiencer,rel,1_island_9_experiencer_rel,anger,その記者によると,政府が,海外からの救援を,無駄にしたことが,被害者たちを,怒らせた,ようです,海外からの救援を、その記者によると、政府が無駄にしたことが、被害者たちを怒らせたようです。
1,island,10,52,experiencer,main,1_island_10_experiencer_main,become disappointed,その候補者によると,誰も,若手の革新派を,支援しなかったことが,支持者を,がっかりさせた,らしいです,支持者を、その候補者によると、誰も若手の革新派を支援しなかったことが、がっかりさせたらしいです。
1,island,11,38,causative,situ,1_island_11_causative_situ,secure support,知り合いによると,教師たちが,小学校の子供たちを,美術館に連れて行ったことが,校長の支持を,取り付けた,そうです,知り合いによると、教師たちが小学校の子供たちを美術館に連れて行ったことが、校長の支持を取り付けたそうです。
1,island,12,73,causative,rel,1_island_12_causative_rel,cause fight,記事によると,新しい監督が,人気の選手を,4人も解雇したことが,球団の間で喧嘩を,起こした,ようです,人気の選手を、記事によると、新しい監督が4人も解雇したことが、球団の間で喧嘩を起こしたようです。
1,island,13,22,causative,main,1_island_13_causative_main,harm relationship,公式発表によると,指導者が,政府の提示した条件を,殆ど承諾したことが,反対者との関係を,損なった,ということです,反対者との関係を、公式発表によると、指導者が政府の提示した条件を殆ど承諾したことが、損なったということです。
1,island,14,9,experiencer,situ,1_island_14_experiencer_situ,become relieved,住民の話によると,救助隊が,近くにいた子供たちを,迅速に助けたことが,保護者たちを,安心させた,ということです,住民の話によると、救助隊が近くにいた子供たちを迅速に助けたことが、保護者たちを安心させたということです。
1,island,15,66,experiencer,rel,1_island_15_experiencer_rel,cause worry,その報告によると,事務所が,人気作家たちの作品を,いくつか入れ替えたことが,購読者を,心配させた,らしいです,人気作家たちの作品を、その報告によると、事務所がいくつか入れ替えたことが、購読者を心配させたらしいです。
1,island,16,99,experiencer,main,1_island_16_experiencer_main,torment,元社員によると,人事部が,経験豊かな社員を,数名解雇したことが,社長を,悩ませた,とのことです,社長を、元社員によると、人事部が経験豊かな社員を数名解雇したことが、悩ませたとのことです。
1,island,17,14,causative,situ,1_island_17_causative_situ,cause problem,今日読んだ記事によると,惣菜屋の店長が,従業員の給料を,上げたことが,経営の問題を,起こした,ようです,今日読んだ記事によると、惣菜屋の店長が従業員の給料を上げたことが、経営の問題を起こしたようです。
