list,position,experiment,item,condition,subcondition,audio
4,1,filler,18,g,intransitive,filler_18_g_intransitive
4,2,filler,31,ng,salad,filler_31_ng_salad
4,3,filler,40,g,scrambled,filler_40_g_scrambled
4,4,filler,9,m,implausible,filler_9_m_implausible
4,5,filler,36,m,implausible,filler_36_m_implausible
4,6,filler,11,ng,salad,filler_11_ng_salad
4,7,order,38,SVO,NA,4_order_38_SVO
4,8,filler,19,ng,salad,filler_19_ng_salad
4,9,order,22,SOV,NA,4_order_22_SOV
4,10,filler,13,ng,transitive,filler_13_ng_transitive
4,11,island,23,experiencer,main,4_island_23_experiencer_main
4,12,order,8,SVO,NA,4_order_8_SVO
4,13,filler,28,g,transitive,filler_28_g_transitive
4,14,island,27,causative,main,4_island_27_causative_main
4,15,filler,10,g,intransitive,filler_10_g_intransitive
4,16,order,14,SVO,NA,4_order_14_SVO
4,17,filler,43,ng,salad,filler_43_ng_salad
4,18,order,18,VSO,NA,4_order_18_VSO
4,19,island,9,causative,rel,4_island_9_causative_rel
4,20,order,29,VOS,NA,4_order_29_VOS
4,21,filler,48,g,scrambled,filler_48_g_scrambled
4,22,order,23,VOS,NA,4_order_23_VOS
4,23,filler,5,ng,intransitive,filler_5_ng_intransitive
4,24,island,10,causative,main,4_island_10_causative_main
4,25,order,31,OVS,NA,4_order_31_OVS
4,26,filler,23,ng,salad,filler_23_ng_salad
4,27,order,42,VSO,NA,4_order_42_VSO
4,28,filler,8,g,scrambled,filler_8_g_scrambled
4,29,island,25,causative,situ,4_island_25_causative_situ
4,30,order,41,VOS,NA,4_order_41_VOS
4,31,filler,24,m,implausible,filler_24_m_implausible
4,32,order,32,SVO,NA,4_order_32_SVO
4,33,island,8,causative,situ,4_island_8_causative_situ
4,34,filler,4,g,transitive,filler_4_g_transitive
4,35,order,28,SOV,NA,4_order_28_SOV
4,36,filler,6,m,implausible,filler_6_m_implausible
4,37,order,30,VSO,NA,4_order_30_VSO
4,38,island,17,experiencer,situ,4_island_17_experiencer_situ
4,39,order,10,SOV,NA,4_order_10_SOV
4,40,filler,22,g,transitive,filler_22_g_transitive
4,41,order,4,SOV,NA,4_order_4_SOV
4,42,filler,20,g,csc,filler_20_g_csc
4,43,order,11,VOS,NA,4_order_11_VOS
4,44,filler,37,ng,csc,filler_37_ng_csc
4,45,order,34,SOV,NA,4_order_34_SOV
4,46,island,7,experiencer,main,4_island_7_experiencer_main
4,47,order,9,OSV,NA,4_order_9_OSV
4,48,filler,25,ng,intransitive,filler_25_ng_intransitive
4,49,island,6,experiencer,rel,4_island_6_experiencer_rel
4,50,order,6,VSO,NA,4_order_6_VSO
4,51,filler,44,g,csc,filler_44_g_csc
4,52,island,11,experiencer,situ,4_island_11_experiencer_situ
4,53,filler,33,ng,intransitive,filler_33_ng_intransitive
4,54,order,24,VSO,NA,4_order_24_VSO
4,55,filler,29,ng,csc,filler_29_ng_csc
4,56,order,25,OVS,NA,4_order_25_OVS
4,57,island,2,causative,situ,4_island_2_causative_situ
4,58,filler,1,ng,intransitive,filler_1_ng_intransitive
4,59,order,12,VSO,NA,4_order_12_VSO
4,60,filler,35,ng,salad,filler_35_ng_salad
4,61,order,3,OSV,NA,4_order_3_OSV
4,62,island,3,causative,rel,4_island_3_causative_rel
4,63,filler,17,ng,transitive,filler_17_ng_transitive
4,64,island,29,experiencer,situ,4_island_29_experiencer_situ
4,65,order,2,SVO,NA,4_order_2_SVO
4,66,filler,46,g,intransitive,filler_46_g_intransitive
4,67,island,14,causative,situ,4_island_14_causative_situ
4,68,filler,3,m,implausible,filler_3_m_implausible
4,69,order,26,SVO,NA,4_order_26_SVO
4,70,filler,14,g,transitive,filler_14_g_transitive
4,71,island,4,causative,main,4_island_4_causative_main
4,72,order,21,OSV,NA,4_order_21_OSV
4,73,filler,15,m,implausible,filler_15_m_implausible
4,74,island,1,experiencer,main,4_island_1_experiencer_main
4,75,filler,7,ng,salad,filler_7_ng_salad
4,76,island,12,experiencer,rel,4_island_12_experiencer_rel
4,77,order,36,VSO,NA,4_order_36_VSO
4,78,filler,32,g,scrambled,filler_32_g_scrambled
4,79,order,1,OVS,NA,4_order_1_OVS
4,80,island,16,causative,main,4_island_16_causative_main
4,81,order,37,OVS,NA,4_order_37_OVS
4,82,filler,39,ng,salad,filler_39_ng_salad
4,83,order,19,OVS,NA,4_order_19_OVS
4,84,filler,45,ng,intransitive,filler_45_ng_intransitive
4,85,order,27,OSV,NA,4_order_27_OSV
4,86,filler,27,m,implausible,filler_27_m_implausible
4,87,order,40,SOV,NA,4_order_40_SOV
4,88,island,13,experiencer,main,4_island_13_experiencer_main
4,89,filler,16,g,scrambled,filler_16_g_scrambled
4,90,order,7,OVS,NA,4_order_7_OVS
4,91,filler,26,g,transitive,filler_26_g_transitive
4,92,order,17,VOS,NA,4_order_17_VOS
4,93,island,32,experiencer,rel,4_island_32_experiencer_rel
4,94,order,13,OVS,NA,4_order_13_OVS
4,95,filler,12,g,csc,filler_12_g_csc
4,96,order,5,VOS,NA,4_order_5_VOS
4,97,filler,38,g,intransitive,filler_38_g_intransitive
4,98,order,20,SVO,NA,4_order_20_SVO
4,99,filler,34,g,intransitive,filler_34_g_intransitive
4,100,island,5,experiencer,situ,4_island_5_experiencer_situ
4,101,order,39,OSV,NA,4_order_39_OSV
4,102,filler,30,g,csc,filler_30_g_csc
4,103,order,35,VOS,NA,4_order_35_VOS
4,104,filler,41,ng,transitive,filler_41_ng_transitive
4,105,order,16,SOV,NA,4_order_16_SOV
4,106,filler,47,ng,salad,filler_47_ng_salad
4,107,island,26,causative,rel,4_island_26_causative_rel
4,108,filler,21,m,implausible,filler_21_m_implausible
4,109,order,15,OSV,NA,4_order_15_OSV
4,110,filler,2,g,intransitive,filler_2_g_intransitive
4,111,island,15,causative,rel,4_island_15_causative_rel
4,112,filler,42,g,transitive,filler_42_g_transitive
4,113,island,20,experiencer,rel,4_island_20_experiencer_rel
4,114,order,33,OSV,NA,4_order_33_OSV
